ExperienceLevel,Apache Kafka,Apache Flink,Apache Spark,Apache Storm,Apache Pulsar,Amazon Kinesis,Google Cloud Pub/Sub,Azure Stream Analytics,RabbitMQ,Redis,Apache NiFi,Apache Beam,Confluent Cloud,AWS MSK,Google Dataflow,Apache Samza,Amazon MSK,Azure Event Hubs,AWS Lambda,Total_Respondents
Junior (0-2 years),0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,1705
Mid (3-6 years),0,0,0,0,0,0,0,0,0,829,0,0,0,0,0,0,0,0,0,7068
Not specified,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,6123
Senior (7+ years),0,0,0,0,0,0,0,0,0,6358,0,0,0,0,0,0,0,0,0,34227
